Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2015-11-01,47.52421951293945,48.075099179822075,45.93279232915594,46.212603482198396,662626600
2015-12-01,48.839298248291016,50.04531459627643,47.25475065797298,47.897372605676026,792820900
2016-01-01,48.4959831237793,48.76007384618514,43.2229568121849,47.81814814281034,927914700
2016-02-01,44.78990173339844,48.49598352059783,42.42188006508343,48.311120349210675,814770900
2016-03-01,48.96831512451172,49.33183136379259,44.845509491039486,45.191292818378955,641110900
2016-04-01,44.21598815917969,50.333702061345456,43.75494274960086,48.80870596675441,699025700
2016-05-01,46.99114227294922,46.99114227294922,43.852487807516844,44.33126629523511,530704800
2016-06-01,45.68593215942383,47.27516570765108,42.89138755719986,46.81982226753489,823627000
2016-07-01,50.605403900146484,51.15002858433792,44.989524663224785,45.65021774057078,647587800
2016-08-01,51.30180358886719,52.40890981184239,50.12327302568909,50.53397234797731,467078900
2016-09-01,51.74732971191406,52.27738063613001,49.959533213468795,51.21727878769811,526427800
2016-10-01,53.831600189208984,55.134268141977024,50.59739317214191,51.576639737785136,614841800
2016-11-01,54.137054443359375,55.17020573692995,51.459848967872574,53.87652358917174,613056800
2016-12-01,56.203155517578125,57.97589665759941,53.18225835233124,54.36710244043049,513579700
2017-01-01,58.47335433959961,59.61297614379964,56.03131106655575,56.791057785941796,493453500
2017-02-01,57.867374420166016,59.006992975380435,56.75488857214354,58.21107032898156,440744000
2017-03-01,59.92889404296875,60.22917713716832,57.89061857985237,58.354688350426464,489169700
2017-04-01,62.29473114013672,62.913492997464054,59.009834551691014,59.88337947809703,433191200
2017-05-01,63.550479888916016,64.36943080342702,61.09363408770414,62.4949485542405,517218500
2017-06-01,63.08195495605469,66.70598633233142,62.313217219327726,64.28081186332133,629716800
2017-07-01,66.53208923339844,68.10616460480244,62.24914272739015,63.44800635492925,469851200
2017-08-01,68.42645263671875,68.60033512490195,65.2325488751941,66.8981383964995,444070500
2017-09-01,68.53341674804688,69.89507186629157,67.0889618351004,68.73582560528837,375983900
2017-10-01,76.52851867675781,79.30702154589369,67.81578529579384,68.73582038110264,449950000
2017-11-01,77.43938446044922,78.25821547392046,75.66371570801202,76.98856904185928,421926000
2017-12-01,79.0950698852539,80.90739467952753,74.61973147117826,77.3012351057556,466203300
2018-01-01,87.85152435302734,88.25836799131322,79.05804824016026,79.64057868755074,574258400
2018-02-01,86.7049560546875,88.83166684350626,77.51388381182606,87.6481087558224,725663300
2018-03-01,84.78977966308594,90.33590770855274,80.89727665041123,87.31665938993277,750754800
2018-04-01,86.88002014160156,90.94904202032802,81.29673889109337,84.04657624469826,668130700
2018-05-01,91.82230377197266,92.89065457488547,85.88599775418209,86.59203933255019,509417900
2018-06-01,92.00568389892578,95.81243125164458,90.74610036677662,92.63080953895513,602585200
2018-07-01,98.97537994384766,103.7058205306569,91.4365296669663,91.52983082457472,569352300
2018-08-01,104.80681610107422,105.22667496897841,97.81844598158705,98.92874923987306,456628100
2018-09-01,107.1208267211914,107.98251214632663,100.43338579227354,103.82393279207581,480255500
2018-10-01,100.03999328613281,108.81609134141915,93.76466639689136,107.4767296318519,927548000
2018-11-01,103.86139678955078,105.12582755840033,93.05284218015063,100.2647930785284,720228600
2018-12-01,95.54310607910156,106.68995716359396,88.38466266311819,106.2948805688402,944314600
2019-01-01,98.2334213256836,101.49752255059829,91.43242578922602,93.64298921937029,714212800
2019-02-01,105.3824462890625,106.52064735055193,96.2768306204599,97.62197863434508,469095900
2019-03-01,111.41557312011719,114.13624920907472,102.7811975966715,106.64493573989951,589095800
2019-04-01,123.3752212524414,124.10261451801614,111.56671332854904,112.36968993580744,433157700
2019-05-01,116.83802795410156,123.42244179669387,116.23343330343981,123.30908480428027,547218800
2019-06-01,127.01780700683594,131.22770105587912,112.84255543156856,117.4317289904584,508324300
2019-07-01,129.2080841064453,134.33771069127673,127.69099511611604,129.54942840586776,484079900
2019-08-01,130.7156982421875,133.63608550572346,124.00260250154533,129.90026534088827,584482000
2019-09-01,132.26400756835938,135.44146067050843,127.96397243528841,129.96178028688678,472544800
2019-10-01,136.39279174804688,138.58086350603125,126.73675456512325,132.86334968099584,549523400
2019-11-01,144.01295471191406,145.0784442144012,136.0122317798731,137.23944633068734,392371800
2019-12-01,150.53594970703125,152.30191312583798,139.98792982211077,144.91352314360165,450303300
2020-01-01,162.49667358398438,166.14314305958445,149.39995375852655,151.56683475808154,558530000
2020-02-01,154.6501007080078,182.0367553423875,145.09484664308982,162.68758980707503,887522300
2020-03-01,150.95669555664062,167.50631283873548,126.84535596030516,158.23124666525945,1612695500
2020-04-01,171.53599548339844,172.67502582955896,143.9213850751185,146.4483361739037,984705000
2020-05-01,175.40301513671875,179.48059156763216,166.3576783959031,168.27203599630383,688845000
2020-06-01,195.3379364013672,196.19219736576696,174.06779477578027,175.20999735487135,764965400
2020-07-01,196.77772521972656,207.6911676735517,189.57889112045177,194.98282060438166,770190800
2020-08-01,216.47372436523438,221.86804565515976,194.9828070475979,203.02630847534587,692423900
2020-09-01,202.37213134765625,224.04970388858519,188.82484871976854,216.97778648432677,768176300
2020-10-01,194.8095245361328,216.68915920479387,192.067348754024,205.4125856304237,631618000
2020-11-01,205.9706268310547,219.48903059465863,192.5484160575886,196.56064153222587,573443000
2020-12-01,214.5649871826172,219.15687715994198,201.72504707349495,206.9343341462576,594761700
2021-01-01,223.76808166503906,234.0708985476244,204.4551060601515,214.67110492538998,648076400
2021-02-01,224.17324829101562,237.43765185084808,219.83217076234317,226.758594064758,490962200
2021-03-01,227.9673614501953,233.07262237552308,216.83826737975846,228.09304915884158,724945800
2021-04-01,243.834228515625,254.4798678015385,230.17186346298922,230.5779620135369,568661600
2021-05-01,241.41700744628906,245.932470036524,230.19124646307296,245.01389782094103,495084900
2021-06-01,262.53955078125,263.26640448195985,235.50059902999388,243.47660283184464,508572200
2021-07-01,276.1171569824219,281.1954314815061,261.2796541044949,261.2893253745946,522672700
2021-08-01,292.5634765625,296.4012559732469,274.98329349439075,277.52243112412117,441308900
2021-09-01,273.7425231933594,296.46376704565085,273.45120733984913,294.0848209209935,502918700
2021-10-01,322.00091552734375,322.3698978624627,272.12097552998546,273.93672894845247,516515800
2021-11-01,321.00079345703125,339.5273692544235,316.90319898883445,321.7484479144554,509885200
2021-12-01,327.1619873046875,334.9246722831403,308.6112577666382,326.0043887225354,625674800
2022-01-01,302.5120544433594,328.7962916894705,268.53317250666186,326.21845687833496,947531400
2022-02-01,290.65399169921875,306.5393146547554,264.1265315974804,301.95757571390374,697050600
2022-03-01,300.534912109375,307.982257797366,263.1910314686111,288.92525970705833,734334200
2022-04-01,270.52130126953125,307.1633275256728,263.19095645097883,301.5680922671379,627343400
2022-05-01,265.0138244628906,283.5444290957911,240.22513966460252,270.706544484041,742902000
2022-06-01,250.9362030029297,271.3175192450272,235.96777704051883,268.88466978197346,621372300
2022-07-01,274.29754638671875,275.528641347026,240.29615150909547,250.50635599655345,534891800
2022-08-01,255.46974182128906,287.4290986614332,254.67833222858724,271.444545120104,477157600
2022-09-01,228.03839111328125,261.8672051748794,227.87194152137735,253.46628914152797,575586600
2022-10-01,227.2844696044922,245.79972654702107,214.55583460381644,230.49600093251772,671225100
2022-11-01,249.8141326904297,250.0001689655042,208.97479281168435,229.7028972098408,615296000
2022-12-01,235.47567749023438,259.13911294777733,229.63344951618677,249.27115031667827,591358700
2023-01-01,243.32095336914062,245.30436554067222,215.37651076411686,238.6766408668388,666168100
2023-02-01,244.9017791748047,271.74652912204573,241.0233360368799,243.50750413450052,615501000
2023-03-01,283.7864685058594,284.7412837418121,241.7648201670633,246.83418764050055,747635000
2023-04-01,302.44964599609375,304.09348419157374,271.0588911478225,282.0343243303661,551497100
2023-05-01,323.2488708496094,330.68065902872996,298.6500839491454,302.1642006548984,600807200
2023-06-01,335.9414367675781,346.7238334059358,318.1450362336861,321.52871109916737,547588700
2023-07-01,331.38385009765625,361.827111442542,322.58428986174516,334.60968215830167,666764400
2023-08-01,323.33404541015625,333.96847459912,307.3429182914013,330.6637058862652,479456700
2023-09-01,312.1456604003906,336.969011026543,305.9175880325343,327.5280379578117,416680700
2023-10-01,334.25042724609375,342.2481056644378,307.6574993753947,312.66963207682574,540907000
2023-11-01,374.5846862792969,379.9131428921996,335.7728357099123,335.91125206908083,563880300
2023-12-01,372.5019836425781,374.60203248982884,359.48559865584394,373.21521063130945,522003700
2024-01-01,393.83929443359375,411.41240548584386,363.0517286706431,370.34246647385015,528399000
2024-02-01,409.74822998046875,416.8606687822964,393.482706336708,398.0493180549773,444176300
2024-03-01,417.53228759765625,427.55576791928456,395.37149099067,408.1538762951765,426349600
2024-04-01,386.380126953125,426.11676198860675,385.08998885483203,420.73784498468564,440777700
2024-05-01,411.9846496582031,430.31470745358223,387.3526984580752,389.6352597134869,413800800
2024-06-01,444.3636169433594,453.5302641718106,406.5536888789832,413.1254237901401,342370400
2024-07-01,415.9291076660156,465.6397687868259,409.82462391670987,446.06370801017243,440449200
2024-08-01,414.7261047363281,424.9863618003608,383.3487085389601,418.3549768124729,451919000
2024-09-01,428.5810241699219,440.08490243425774,399.19887085437097,416.24053558313705,376921200
2024-10-01,404.72674560546875,436.7483088034894,404.67692710480617,426.7384680461922,440745500
2024-11-01,421.76837158203125,427.61491749363785,403.9498535950696,407.376114061766,442321200
2024-12-01,420.6565246582031,455.2471692255662,419.81820926028456,420.7263918888235,439902400
2025-01-01,414.22943115234375,447.4827626251138,409.89811947494246,424.67848110976337,462562700
2025-02-01,396.195556640625,418.4708984466511,385.7964256024901,410.77633578416254,432448900
2025-03-01,395.1600036621094,402.1499938964844,376.9100036621094,398.82000732421875,405083700
